step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,3,2,3,0,A,7,3,1.9419432878494263,0.9979614019393921,0.142578125,0.03162277489900589,1.0,0.03162277489900589,6.808954441939186e-13,6.808954441939186e-13,7.296168335300945e-13,nan,nan,nan,0.0,6.808954441939186e-13,0.5,0.564189612865448,0.564189612865448,0.0,1.0,0.0,0.6808954477310181,0.0,1.0,0.0,0.0,0.0,150.0,37.5,0.0,150.0,37.5,0.0,-0.20281237363815308,55.36373816989362,14.4931550482288,39.84029013104737
120000,3,3,2,3,0,A,7,3,1.596101999282837,0.8202341198921204,0.02734375,0.03162277489900589,0.0007071067811921239,0.03162277489900589,5.669873208088982e-13,5.669873208088982e-13,5.669873208088982e-13,nan,nan,nan,0.0,5.669873208088982e-13,0.5,0.564189612865448,0.564189612865448,0.0,1.0,0.0,0.5669872760772705,0.0,1.0,1.0,0.0,0.0,106.06601717798212,26.51650429449553,0.0,150.0,37.5,0.0,-0.17956145107746124,39.51683210302144,14.565292928833514,24.14318415382877
170000,3,2,2,2,0,A,7,3,1.5740176439285278,0.8088850378990173,0.021484375,0.03162277489900589,0.0005773502634838223,0.03162277489900589,9.999999960041972e-13,9.7094478724441e-13,9.999999960041972e-13,nan,nan,nan,0.0,9.7094478724441e-13,0.5,0.02820948138833046,0.02820948138833046,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,150.0,37.5,0.0,150.0,37.5,0.04999999701976776,0.0,24.291008855681866,0.011289536021649837,24.26896415790543
220000,2,2,3,2,0,A,7,2,1.5796806812286377,0.8117952346801758,0.017578125,0.03162277489900589,0.0004999999655410647,0.03162277489900589,9.999999424161284e-19,9.999999424161284e-19,3.798263515774475e-13,nan,nan,nan,0.0,9.999999424161284e-19,0.5,0.02820948138833046,0.02820948138833046,0.0,1.0,0.0,5.960464477539063e-08,0.0,1.0,3.0,0.0,-0.15000000223517418,106.06601717798212,26.366504292260355,-0.15000000223517418,106.06601717798212,26.366504292260355,-0.15000000223517418,-0.20281237363815308,55.60529219871387,14.760149960406125,39.98909977823496
270000,2,3,3,3,0,A,7,2,1.5782749652862549,0.811072826385498,0.021484375,0.03162277489900589,0.00044721359154209495,0.03162277489900589,9.999999424161284e-19,6.886116568453893e-13,9.999999424161284e-19,nan,nan,nan,0.0,6.886116568453893e-13,0.5,0.02820948138833046,0.02820948138833046,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.02499999850988388,0.5773502691896258,0.16933756580729034,0.02499999850988388,0.5773502691896258,0.16933756580729034,0.10000000521540642,-9.157633781433105,38.807191990315914,14.330859145149589,24.467065514996648
320000,3,4,2,4,0,A,7,3,1.5792258977890015,0.8115615248680115,0.015625,0.03162277489900589,0.0004999999655410647,0.03162277489900589,5.445366922131323e-13,9.999999424161284e-19,9.999999960041972e-13,nan,nan,nan,0.0,9.999999424161284e-19,0.5,0.02820948138833046,0.02820948138833046,0.0,1.0,0.0,0.5445367097854614,0.0,1.0,5.0,1.0,0.0,150.0,37.5,0.0,150.0,37.5,0.4000000059604645,-0.20281237363815308,38.93507509911433,14.408545474056154,24.51699125394225
370000,4,5,3,5,0,A,7,3,1.63127863407135,0.8383113145828247,0.228515625,0.03162277489900589,1.0,0.03162277489900589,8.020998145188973e-13,9.999999960041972e-13,9.999999424161284e-19,nan,nan,nan,0.0,9.999999960041972e-13,0.5,0.02820948138833046,0.02820948138833046,0.0,1.0,0.0,0.8020998239517212,0.0,1.0,6.0,1.0,0.0,150.0,37.5,0.0,150.0,37.5,0.550000011920929,-0.17956145107746124,54.27022862294689,14.519494934007525,39.7414555340074
420000,5,6,4,6,0,A,7,3,1.5053040981292725,0.7735732197761536,0.27734375,0.03162277489900589,1.0,0.03162277489900589,7.787511412636616e-13,6.761247920046565e-13,9.999999424161284e-19,nan,nan,nan,0.0,6.761247920046565e-13,0.5,0.564189612865448,0.564189612865448,0.0,1.0,0.0,0.7787511348724365,0.0,1.0,7.0,1.0,0.0,150.0,37.5,0.0,150.0,37.5,-1.0500000230967999,-0.20571890473365784,54.27789110224694,14.62122543901205,39.647100578062236
470000,6,7,5,7,0,A,7,3,1.5122746229171753,0.7771553993225098,0.390625,0.03162277489900589,1.0,0.03162277489900589,9.95735069918291e-13,9.999999424161284e-19,9.97086419506077e-13,nan,nan,nan,0.0,9.999999424161284e-19,0.5,0.564189612865448,0.564189612865448,0.0,1.0,0.0,0.9957349896430969,0.0,1.0,8.0,1.0,0.0,150.0,37.5,0.0,150.0,37.5,0.15000000223517418,-0.3591229021549225,54.253695455379784,14.560605756007135,39.68110645702109
