env_id,regime,method,seed,auc,final_score,wall_hours
acrobot-swingup,clean,adaptive_rhs,23,479.181,545.501,1.5042
acrobot-swingup,chaos,paper_horizon,23,308.111,417.114,1.7658
acrobot-swingup,chaos,adaptive_rhs,23,298.639,338.845,1.9131
walker-run,clean,paper_horizon,23,744.371,857.394,2.3433
walker-run,clean,adaptive_rhs,23,740.939,848.001,2.6911
walker-run,chaos,paper_horizon,23,420.321,577.065,2.7644
walker-run,chaos,adaptive_rhs,23,440.951,622.352,3.1914
quadruped-run,clean,paper_horizon,31,709.766,922.892,1.9700
quadruped-run,clean,adaptive_rhs,31,664.865,918.438,2.1119
cheetah-run,clean,paper_horizon,31,718.858,932.158,1.5078
quadruped-run,chaos,paper_horizon,31,519.391,672.86,2.4494
quadruped-run,chaos,adaptive_rhs,31,500.572,676.259,2.6439
cheetah-run,clean,adaptive_rhs,31,757.119,934.833,1.6233
cheetah-run,chaos,paper_horizon,31,365.448,511.406,2.0214
cheetah-run,chaos,adaptive_rhs,31,373.989,343.822,2.2117
hopper-hop,clean,paper_horizon,31,252.971,583.709,1.6992
hopper-hop,clean,adaptive_rhs,31,408.89,614.467,1.9839
hopper-hop,chaos,paper_horizon,31,122.159,177.199,2.1847
finger-turn_hard,clean,paper_horizon,31,681.32,735.35,1.5267
hopper-hop,chaos,adaptive_rhs,31,115.988,171.029,2.6003
finger-turn_hard,clean,adaptive_rhs,31,685.34,777.2,1.7186
finger-turn_hard,chaos,paper_horizon,31,433.367,678.55,1.9875
cartpole-swingup,clean,paper_horizon,31,776.942,867.008,1.3897
finger-turn_hard,chaos,adaptive_rhs,31,471.575,747.5,2.1000
cartpole-swingup,clean,adaptive_rhs,31,787.85,878.87,1.7444
cartpole-swingup,chaos,paper_horizon,31,755.383,780.32,1.8392
acrobot-swingup,clean,paper_horizon,31,447.736,428.226,1.3575
cartpole-swingup,chaos,adaptive_rhs,31,740.085,776.335,2.4808
acrobot-swingup,clean,adaptive_rhs,31,512.161,642.531,1.4503
acrobot-swingup,chaos,paper_horizon,31,319.782,389.875,1.8011
acrobot-swingup,chaos,adaptive_rhs,31,308.639,407.137,2.1517
walker-run,clean,paper_horizon,31,745.246,849.675,2.3494
walker-run,clean,adaptive_rhs,31,745.059,853.634,2.6436
walker-run,chaos,paper_horizon,31,441.015,578.13,2.8128
quadruped-run,clean,paper_horizon,42,771.931,936.566,1.9936
walker-run,chaos,adaptive_rhs,31,435.079,554.966,2.9383
quadruped-run,clean,adaptive_rhs,42,713.413,916.308,2.2736
quadruped-run,chaos,paper_horizon,42,469.133,719.174,2.4519
cheetah-run,clean,paper_horizon,42,771.665,944.059,1.5369
quadruped-run,chaos,adaptive_rhs,42,449.509,644.03,2.5917
cheetah-run,clean,adaptive_rhs,42,786.903,932.274,1.7592
cheetah-run,chaos,paper_horizon,42,409.115,321.27,1.9978
cheetah-run,chaos,adaptive_rhs,42,393.975,369.869,2.2442
hopper-hop,clean,paper_horizon,42,244.343,355.446,1.7228
hopper-hop,clean,adaptive_rhs,42,420.802,536.892,1.8278
hopper-hop,chaos,paper_horizon,42,123.928,186.592,2.1319
hopper-hop,chaos,adaptive_rhs,42,112.933,177.286,2.4258
finger-turn_hard,clean,paper_horizon,42,772.81,951.2,1.4975
finger-turn_hard,clean,adaptive_rhs,42,706.06,893.1,1.5975
finger-turn_hard,chaos,paper_horizon,42,431.652,436.35,1.9411
finger-turn_hard,chaos,adaptive_rhs,42,507.715,640.7,2.0622
cartpole-swingup,clean,paper_horizon,42,771.878,865.494,1.3733
cartpole-swingup,clean,adaptive_rhs,42,771.353,867.302,1.8531
acrobot-swingup,clean,paper_horizon,42,507.626,629.118,1.3508
cartpole-swingup,chaos,paper_horizon,42,753.329,858.653,1.8439
cartpole-swingup,chaos,adaptive_rhs,42,754.249,857.246,2.1072
acrobot-swingup,clean,adaptive_rhs,42,488.231,684.391,1.5733
acrobot-swingup,chaos,paper_horizon,42,360.038,425.529,1.7914
acrobot-swingup,chaos,adaptive_rhs,42,359.812,457.103,2.1756
walker-run,clean,paper_horizon,42,745.426,855.137,2.3369
walker-run,clean,adaptive_rhs,42,742.334,849.568,2.6539
acrobot-swingup,clean,paper_horizon,15,443.86,572.393,1.3425
walker-run,chaos,paper_horizon,42,449.628,570.057,2.7578
acrobot-swingup,clean,adaptive_rhs,15,448.044,622.027,1.5500
walker-run,chaos,adaptive_rhs,42,439.373,602.345,3.2283
acrobot-swingup,chaos,paper_horizon,15,294.393,403.393,1.7925
acrobot-swingup,chaos,adaptive_rhs,15,247.779,338.506,1.9481
walker-run,clean,paper_horizon,15,738.913,850.586,2.3500
