step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,3,3,3,0,A,7,3,1.8639132976531982,0.9578619003295898,0.13671875,0.03162277489900589,1.0,0.03162277489900589,1.0160457585024679e-26,1.0160457585024679e-26,1.0160457585024679e-26,0.0,0.5,0.0,0.0,1.0160457585024679e-26,0.5,0.564189612865448,0.564189612865448,0.0,0.0,0.9429153203964233,0.012351810932159424,0.872388482093811,1.0,0.0,0.0,0.0,150.0,37.5,0.0,150.0,47.5,0.0,-16.898529052734375,42.93013536510989,14.783151779323816,27.1248820819892
120000,3,3,3,3,0,A,7,3,1.8403246402740479,0.94573974609375,0.04296875,0.2514466643333435,0.15543894469738007,0.47127053141593933,0.005763254128396511,0.005763254128396511,0.005763254128396511,0.0,0.5,0.0,0.0,0.005763254128396511,0.5,0.564189612865448,0.564189612865448,0.0,0.5124595761299133,0.9608277082443237,0.10017681121826172,0.8681936264038086,1.0,1.0,0.0,185.49000549316406,106.06601717798212,221.90114128490956,185.49000549316406,106.06601717798212,221.90114128490956,185.49000549316406,18.800689697265625,20.399813550990075,14.524751803837717,5.100421191193163
170000,3,3,3,3,0,A,7,3,1.774971604347229,0.9121549129486084,0.017578125,0.1781720370054245,0.11965696513652802,0.03162277489900589,8.22636901620703e-31,8.22636901620703e-31,8.22636901620703e-31,0.0,0.5,0.0,0.0,8.22636901620703e-31,0.5,0.08769703656435013,0.08769703656435013,0.0,0.0,0.9689249396324158,0.0,0.84902024269104,1.0,2.0,0.0,78.16304779052734,61.965247920920895,93.65435977075757,78.16304779052734,61.965247920920895,93.65435977075757,-29.163909912109375,-10.043281555175781,5.125204322859645,0.011766298674046993,5.103347792755812
220000,3,3,3,3,0,A,7,3,1.7316724061965942,0.8899035453796387,0.01171875,0.1415347158908844,0.09518653154373169,0.03162277489900589,6.449479749016045e-25,6.449479749016045e-25,6.449479749016045e-25,0.0,0.5,0.0,0.0,6.449479749016045e-25,0.5,0.06750921159982681,0.06750921159982681,0.0,0.0,0.9674099087715149,0.6666749715805054,1.0,1.0,3.0,0.0,95.09952290852864,45.42321069301392,106.45532558178212,95.09952290852864,45.42321069301392,106.45532558178212,128.97247314453125,-14.404867172241211,5.133598007727414,0.011658611241728067,5.11367521295324
270000,3,3,3,3,0,A,7,3,1.6887547969818115,0.8678482174873352,0.00390625,0.11955232918262482,0.07864657789468765,0.03162277489900589,6.853959613316915e-31,6.853959613316915e-31,6.853959613316915e-31,0.0,0.5,0.0,0.0,6.853959613316915e-31,0.5,0.053703248500823975,0.053703248500823975,0.0,0.0,0.8590050339698792,0.0,0.7978951930999756,1.0,4.0,0.0,58.266170501708984,45.29876765997217,69.59086241670202,58.266170501708984,45.29876765997217,69.59086241670202,-52.23388671875,-24.448562622070312,5.129639428574592,0.011696192901581526,5.107391498982906
320000,3,3,3,3,0,A,7,3,1.6747543811798096,0.8606534600257874,0.0,0.1048974022269249,0.06689027696847916,0.03162277489900589,1.0155919785926911e-25,1.0155919785926911e-25,1.0155919785926911e-25,0.0,0.5,0.0,0.0,1.0155919785926911e-25,0.5,0.0443715825676918,0.0443715825676918,0.0,0.0,0.7805423736572266,0.15533721446990967,0.8376204371452332,1.0,5.0,0.0,42.64255065917969,39.124381558443545,52.42364604879057,42.64255065917969,39.124381558443545,52.42364604879057,-19.8519287109375,-20.52277374267578,5.13832583790645,0.011288867332041264,5.1158621232025325
370000,3,3,3,3,0,A,7,3,1.6286804676055908,0.836976170539856,0.001953125,0.1460007131099701,0.06881406158208847,0.3926205635070801,0.00043028636719100177,0.00043028636719100177,0.00043028636719100177,0.0,0.5,0.0,0.0,0.00043028636719100177,0.5,0.037738800048828125,0.037738800048828125,0.0,0.27606120705604553,0.9090639352798462,0.09468346834182739,0.8607311248779297,1.0,6.0,0.0,35.630017598470054,33.593078073766314,54.028287116911635,35.630017598470054,33.593078073766314,54.028287116911635,0.567352294921875,23.442291259765625,5.137185181025416,0.011976388283073902,5.115926330909133
420000,3,3,3,3,0,A,7,3,1.669970154762268,0.8581948280334473,0.005859375,0.1812647134065628,0.06865586340427399,0.4281127452850342,8.977609104476869e-05,8.977609104476869e-05,8.977609104476869e-05,0.0,0.5,0.0,0.0,8.977609104476869e-05,0.5,0.0388241782784462,0.0388241782784462,0.0,0.142727330327034,0.9858205318450928,0.23873424530029297,0.9192202091217041,1.0,7.0,0.0,31.866322108677455,29.274480758119914,49.18494229820743,31.866322108677455,29.274480758119914,49.18494229820743,9.284149169921875,15.473197937011719,5.13453663000837,0.011684520170092583,5.113384217955172
470000,3,2,3,2,0,A,7,3,1.6444878578186035,0.8450995087623596,0.146484375,0.3365546464920044,0.06187460944056511,0.47786399722099304,0.0003996177401859313,1.1857913051471769e-07,1.1857913051471769e-07,0.0,0.5,0.0,0.0,1.1857913051471769e-07,0.5,0.03873492404818535,0.03873492404818535,0.0,0.1971568912267685,1.0,0.2644824981689453,1.0,1.0,8.0,1.0,0.0,150.0,47.5,0.0,150.0,47.5,44.05792236328125,3.0773582458496094,5.151338761206716,0.011432584840804338,5.130785318091512
