step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,3,3,3,0,A,7,3,1.9208498001098633,0.9871214628219604,0.21875,0.28774818778038025,1.0,0.28774818778038025,2.077342287520878e-06,2.077342287520878e-06,2.077342287520878e-06,0.0,0.5,0.0,0.0,2.077342287520878e-06,0.5,0.564189612865448,0.564189612865448,0.0,0.08190292865037918,0.9548816680908203,0.0876471996307373,0.551598072052002,1.0,0.0,0.0,0.0,150.0,47.5,0.0,150.0,47.5,0.0,-40.2379150390625,44.44006462302059,14.508051880635321,28.942271530628204
120000,3,3,3,3,0,A,7,3,1.6737561225891113,0.8601404428482056,0.0546875,0.15968547761440277,0.09055400639772415,0.03162277489900589,2.174652992403825e-11,2.174652992403825e-11,2.174652992403825e-11,0.0,0.5,0.0,0.0,2.174652992403825e-11,0.5,0.564189612865448,0.564189612865448,0.0,0.07830056548118591,0.9259835481643677,0.0,0.6247799396514893,1.0,1.0,0.0,154.39999389648438,106.06601717798212,180.91649851400987,154.39999389648438,106.06601717798212,180.91649851400987,154.39999389648438,-31.507369995117188,22.872999001760036,14.308658357243985,7.793371598236263
170000,3,3,3,3,0,A,7,3,1.666014552116394,0.8561620712280273,0.095703125,0.1970810890197754,0.06765163689851761,0.27187228202819824,8.448057087662164e-06,8.448057087662164e-06,8.448057087662164e-06,0.0,0.5,0.0,0.0,8.448057087662164e-06,0.5,0.05108962580561638,0.05108962580561638,0.0,0.13033118844032288,0.9355282783508301,0.04479968547821045,0.6986047029495239,1.0,2.0,0.0,193.37501525878906,22.502239075198027,209.00057502758858,193.37501525878906,22.502239075198027,209.00057502758858,232.35003662109375,-1.92083740234375,7.902970657218248,0.01177232014015317,7.882111560087651
220000,3,3,3,3,0,A,7,3,1.614823341369629,0.8298549652099609,0.12890625,0.2758669853210449,0.08502838760614395,0.5122246146202087,0.0360708013176918,0.0360708013176918,0.0360708013176918,0.0,0.5,0.0,0.0,0.0360708013176918,0.5,0.03816835209727287,0.03816835209727287,0.0,0.9354550242424011,0.9377104640007019,0.07847726345062256,0.6401054859161377,1.0,3.0,0.0,145.81666056315103,37.20314411950612,165.11744659302755,145.81666056315103,37.20314411950612,165.11744659302755,50.699951171875,171.0430145263672,7.618020941969007,0.011893681716173887,7.597642172127962
270000,3,3,3,3,0,A,7,3,1.6775753498077393,0.8621031641960144,0.046875,0.22701814770698547,0.08084587752819061,0.03162277489900589,4.0613475582209535e-31,4.0613475582209535e-31,4.0613475582209535e-31,0.0,0.5,0.0,0.0,4.0613475582209535e-31,0.5,0.04797213152050972,0.04797213152050972,0.0,0.0,0.7638736367225647,5.960464477539063e-08,0.5316779017448425,1.0,4.0,0.0,131.06250762939453,31.000893159740585,138.81273091932968,131.06250762939453,31.000893159740585,138.81273091932968,86.800048828125,14.9588623046875,7.542718573007733,0.011775853112339973,7.520047239027917
320000,3,3,3,3,0,A,7,3,1.7143663167953491,0.8810099363327026,0.0390625,0.19445225596427917,0.07363904267549515,0.03162277489900589,5.745426592892609e-31,5.745426592892609e-31,5.745426592892609e-31,0.0,0.5,0.0,0.0,5.745426592892609e-31,0.5,0.0456124022603035,0.0456124022603035,0.0,0.0,1.0,0.0,0.5745426416397095,1.0,5.0,0.0,67.76000366210937,57.551498012532534,82.1478781652425,67.76000366210937,57.551498012532534,82.1478781652425,-185.45001220703125,117.05978393554688,7.6178670800291,0.011347195133566856,7.598425040952861
370000,3,3,3,3,0,A,7,3,1.6545190811157227,0.8502545356750488,0.046875,0.20764578878879547,0.06429023295640945,0.28680697083473206,4.72335668746382e-05,4.72335668746382e-05,4.72335668746382e-05,0.0,0.5,0.0,0.0,4.72335668746382e-05,0.5,0.04154638200998306,0.04154638200998306,0.0,0.23340028524398804,0.9820179343223572,0.02951711416244507,0.5491005778312683,1.0,6.0,0.0,81.49166361490886,50.00523835806642,103.99297320442547,81.49166361490886,50.00523835806642,103.99297320442547,150.14996337890625,93.74673461914062,7.562865930143744,0.011663415003567934,7.542963986285031
420000,3,3,4,3,0,A,7,3,1.708531379699707,0.8780114054679871,0.013671875,0.18564289808273315,0.05990089848637581,0.03162277489900589,6.8611823208061075e-31,6.8611823208061075e-31,0.17006415128707886,0.04867563769221306,0.9319459199905396,0.1213885173201561,0.04867563769221306,0.1213885098695755,0.9319459199905396,0.12382788956165314,0.002439374104142189,0.1213885173201561,0.0,0.9494563937187195,0.0,0.722643256187439,1.0,7.0,1.0,75.96429007393974,43.56956266858014,86.85668074108477,75.96429007393974,43.56956266858014,86.85668074108477,42.800048828125,61.9591064453125,7.6023090817034245,0.011720235925167799,7.581740653142333
470000,3,3,3,3,0,A,7,3,1.7543531656265259,0.9015591144561768,0.041015625,0.21918191015720367,0.06192685663700104,0.48749393224716187,0.0032244727481156588,0.0032244727481156588,0.0032244727481156588,0.0,0.5,0.0,0.0,0.0032244727481156588,0.5,0.03379546478390694,0.03379546478390694,0.0,0.4275611639022827,0.9684938788414001,0.13638734817504883,0.7304571866989136,1.0,8.0,0.0,68.11249923706055,39.04371036748717,80.06990739237817,68.11249923706055,39.04371036748717,80.06990739237817,13.14996337890625,89.20619201660156,22.945328037254512,14.534382081124932,7.487437918316573
