step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,4,4,4,0,A,7,3,1.8298747539520264,0.9403695464134216,0.28125,0.7700700163841248,1.0,0.7700700163841248,0.3200971782207489,0.019146045669913292,0.3200971782207489,0.037636902183294296,0.5738525986671448,0.26331421732902527,0.037636902183294296,0.2824602723121643,0.5738525986671448,0.705597996711731,0.4422837793827057,0.26331421732902527,1.0,0.7941983938217163,0.4427827000617981,0.9102532267570496,1.0,0.0,0.0,0.0,150.0,47.5,0.0,150.0,47.5,0.0,193.1807098388672,46.86765314731747,14.625103997066617,31.211205534171313
120000,4,4,4,4,0,A,7,3,1.743074655532837,0.895763099193573,0.287109375,0.7480340003967285,0.015582025051116943,0.7259979844093323,0.2733098268508911,0.2733098268508911,0.2733098268508911,0.0,0.5,0.0,0.0,0.2733098268508911,0.5,0.564189612865448,0.564189612865448,0.0,1.0,0.8368998765945435,0.3319453001022339,0.9838190674781799,1.0,1.0,0.0,7.756744384765625,106.06601717798212,44.27324867926116,7.756744384765625,106.06601717798212,44.27324867926116,7.756744384765625,159.6295928955078,48.869923600926995,15.390226629097015,32.62658453313634
170000,4,4,5,4,0,A,7,3,1.863927960395813,0.9578694105148315,0.162109375,0.5092302560806274,0.1952589899301529,0.03162277489900589,9.775995007031631e-31,9.775995007031631e-31,0.18575693666934967,0.06758954375982285,0.5469740629196167,0.11816740036010742,0.06758954375982285,0.11816739290952682,0.5469740629196167,0.4613029956817627,0.3431355953216553,0.11816740036010742,0.0,0.9775995016098022,0.0,1.0,1.0,2.0,1.0,76.86968994140625,39.902377721614414,86.84528437180985,76.86968994140625,39.902377721614414,86.84528437180985,145.98263549804688,100.568359375,7.635977175086737,0.011851564049720764,7.61474392702803
220000,4,3,3,3,0,A,7,3,1.7930461168289185,0.9214434027671814,0.146484375,0.5308287143707275,0.05835311859846115,0.6413023471832275,0.10800288617610931,8.979985182122618e-07,0.10800288617610931,0.0664757564663887,0.5799388289451599,0.041526228189468384,0.0664757564663887,0.04152712970972061,0.5799388289451599,0.10454815626144409,0.06302192807197571,0.041526228189468384,0.8743415474891663,1.0,0.1934494972229004,0.9553077220916748,1.0,3.0,0.0,0.0,150.0,47.5,0.0,150.0,47.5,-87.18576049804688,169.88055419921875,22.892438574228436,14.436965702101588,7.626649494282901
270000,3,3,4,3,0,A,7,3,1.7244216203689575,0.8861773610115051,0.15625,0.5021582245826721,0.05326211825013161,0.3874761760234833,0.0017942962003871799,0.0017942962003871799,0.2387048304080963,0.03998798131942749,0.8518763780593872,0.19692255556583405,0.03998798131942749,0.19871684908866882,0.8518763780593872,0.21134305000305176,0.014420494437217712,0.19692255556583405,0.430174320936203,0.9493431448936462,0.05519413948059082,1.0,1.0,4.0,1.0,40.208099365234375,106.06601717798212,66.79977075185616,40.208099365234375,106.06601717798212,66.79977075185616,40.208099365234375,152.31167602539062,21.88492485973984,14.322490224149078,7.553034482058138
320000,3,3,4,3,0,A,7,3,1.701277256011963,0.874283492565155,0.13671875,0.517693817615509,0.046595748513936996,0.5953717231750488,0.03818395733833313,0.03818395733833313,0.43025651574134827,0.045628905296325684,0.983349084854126,0.34644365310668945,0.045628905296325684,0.3846276104450226,0.983349084854126,0.3474166691303253,0.0009730225428938866,0.34644365310668945,0.7077699899673462,0.9479466676712036,0.18727219104766846,0.857146680355072,1.0,5.0,1.0,90.91123962402344,29.27347167717122,99.11707510017655,90.91123962402344,29.27347167717122,99.11707510017655,141.6143798828125,209.83181762695312,21.880326048005372,14.304051507264376,7.56408969219774
370000,3,3,2,3,0,A,7,3,1.735777735710144,0.8920132517814636,0.25390625,0.5586453676223755,0.05506904050707817,0.804354727268219,0.12424944341182709,0.12424944341182709,0.5635965466499329,0.03366772457957268,0.9999999403953552,0.4056793749332428,0.03366772457957268,0.5299288034439087,0.9999999403953552,0.4056793451309204,-2.2171457558783914e-08,0.4056793749332428,0.6917805671691895,0.9922202825546265,0.6098358631134033,0.8966025710105896,1.0,6.0,1.0,70.65402221679688,25.172316154039027,79.15168259813734,70.65402221679688,25.172316154039027,79.15168259813734,30.13958740234375,244.9814453125,7.517813984770328,0.012227467726916075,7.496988651808351
420000,3,4,3,4,0,A,7,3,1.6932814121246338,0.8701744675636292,0.09765625,0.457847535610199,0.11910764127969742,0.5614427328109741,0.05412660166621208,0.028187310323119164,0.028187310323119164,0.0,0.5,0.0,0.0,0.028187310323119164,0.5,0.031069379299879074,0.031069379299879074,0.0,0.8247002959251404,0.534702479839325,0.2253248691558838,0.97119140625,1.0,7.0,1.0,22.184539794921875,47.86786706331258,44.15150656075002,22.184539794921875,47.86786706331258,44.15150656075002,-235.98703002929688,192.4382781982422,7.650298485066742,0.01177454786375165,7.629229214042425
470000,4,4,5,4,0,A,7,3,1.7735096216201782,0.9114035964012146,0.125,0.4855950176715851,0.10905760526657104,0.7075746655464172,0.07955199480056763,0.07955199480056763,0.2610214948654175,0.04281724616885185,0.7653285264968872,0.1386522501707077,0.04281724616885185,0.21820424497127533,0.7653285264968872,0.16495659947395325,0.026304353028535843,0.1386522501707077,0.6821102499961853,0.7488145232200623,0.49074798822402954,1.0,1.0,8.0,1.0,39.42040252685547,39.40868681880954,52.320292383719405,39.42040252685547,39.40868681880954,52.320292383719405,91.12799072265625,167.7881317138672,7.5562807116657495,0.012333107646554708,7.534695455804467
