scope,n,mean_pct_delta,std_pct_delta,sem_pct_delta,rhs_win_rate,mean_rhs_wall_hours,mean_baseline_wall_hours,mean_runtime_ratio
all valid pairs,30,5.898543935514825,24.004160299368202,4.382540023311308,0.7,2.0640466666666666,1.8300266666666665,1.1323873209908568
chaos,15,11.426902531056632,31.37261801814555,8.100375140746962,0.7333333333333333,2.3134466666666667,2.050186666666667,1.1313404724709686
clean,15,0.3701853399730167,11.992655244695019,3.096490269300723,0.6666666666666666,1.8146466666666663,1.6098666666666668,1.133434169510745
