step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,3,3,3,0,A,7,3,1.8880177736282349,0.9702491760253906,0.20703125,0.37472063302993774,1.0,0.37472063302993774,6.55298717902042e-05,6.55298717902042e-05,6.55298717902042e-05,0.0,0.5,0.0,0.0,6.55298717902042e-05,0.5,0.564189612865448,0.564189612865448,0.0,0.1497274488210678,0.9017316102981567,0.14602583646774292,0.9902083873748779,1.0,0.0,0.0,0.0,150.0,45.33083238031261,0.0,150.0,47.5,0.0,-2.738515853881836,51.814997813198715,13.711171080823988,37.05333787482232
120000,3,2,2,2,0,A,7,3,1.6126278638839722,0.8287267684936523,0.2734375,0.5904465317726135,0.06477034837007523,0.6820456385612488,0.2163972109556198,1.2225672207932803e-07,0.2163972109556198,0.04137061536312103,0.5492482781410217,0.17502647638320923,0.04137061536312103,0.17502659559249878,0.5492482781410217,0.6560181975364685,0.4809917211532593,0.17502647638320923,1.0,0.9959661960601807,0.21727365255355835,1.0,1.0,1.0,0.0,0.0,150.0,47.5,62.704465508461,106.06601717798212,89.22096980295653,62.704465508461,28.560110092163086,25.390234734863043,13.677012620959431,10.929956615902483
170000,2,3,2,3,0,A,7,2,1.598866581916809,0.8216548562049866,0.0,0.14598873257637024,0.09337940812110901,0.03162277489900589,8.936616808906066e-31,0.2924066185951233,0.2924066185951233,0.0,0.5,0.0,0.0,0.2924066185951233,0.5,0.03654275834560394,0.03654275834560394,0.0,0.0,0.9804757833480835,0.0,0.9114571809768677,1.0,2.0,1.0,62.704465508461,106.06601717798212,89.22096980295653,62.704465508461,106.06601717798212,89.22096980295653,30.728057861328125,19.29668426513672,51.21029284782708,14.136625479906797,37.06404528999701
220000,3,2,2,2,0,A,7,3,1.5707476139068604,0.80720454454422,0.3125,0.6903889179229736,0.06263955682516098,0.8453073501586914,0.5105727910995483,0.006246139295399189,0.5105727910995483,0.027590110898017883,0.9999923706054688,0.47673654556274414,0.027590110898017883,0.48298269510269165,0.9999923706054688,0.4767366945743561,1.5799992070242297e-07,0.47673654556274414,1.0,1.0,0.5105727910995483,1.0,1.0,3.0,0.0,30.728057861328125,106.06601717798212,67.24456215582366,30.728057861328125,106.06601717798212,67.24456215582366,44.28479766845703,57.91810989379883,25.851686425041407,14.20516518689692,10.849512121174484
270000,2,3,3,3,0,A,7,2,1.6880874633789062,0.8675053119659424,0.03125,0.3630859851837158,0.13583754003047943,0.8098397254943848,0.37696269154548645,9.03697014109639e-07,0.37696269154548645,0.04933066666126251,0.993806779384613,0.3276311159133911,0.04933066666126251,0.32763200998306274,0.993806779384613,0.32789289951324463,0.00026177498511970043,0.3276311159133911,1.0,0.9036932587623596,0.4759640693664551,0.8764015436172485,1.0,4.0,0.0,53.494631588459015,5.317300092904894,64.82395661168525,53.494631588459015,5.317300092904894,64.82395661168525,-1.6417388916015625,58.55917739868164,10.846604628954083,0.01138049690052867,10.8260259879753
320000,3,4,2,4,0,A,7,3,1.5973613262176514,0.8208813071250916,0.001953125,0.2584073543548584,0.11507207155227661,0.5406009554862976,0.02156755141913891,1.2425242346125742e-07,0.3060377836227417,0.029938532039523125,0.9304274320602417,0.2760991156101227,0.029938532039523125,0.2760992646217346,0.9304274320602417,0.28183770179748535,0.0057385824620723724,0.2760991156101227,0.6989235877990723,0.6946539878845215,0.1759154200553894,0.739621639251709,1.0,5.0,1.0,0.0,150.0,38.204731150116984,0.0,150.0,38.204731150116984,-6.6760711669921875,58.681846618652344,10.885494848713279,0.011622403748333454,10.862242142204195
370000,4,4,4,4,0,A,7,3,1.615339756011963,0.8301203846931458,0.033203125,0.3807503879070282,0.142999529838562,0.870122492313385,0.44959455728530884,0.44959455728530884,0.44959455728530884,0.0,0.5,0.0,0.0,0.44959455728530884,0.5,0.06492245942354202,0.06492245942354202,0.0,1.0,0.9141276478767395,0.6270670890808105,0.7843324542045593,1.0,6.0,0.0,9.410324096679688,106.06601717798212,45.92682839117522,9.410324096679688,106.06601717798212,45.92682839117522,9.410324096679688,62.604148864746094,51.35705481702462,14.088577503804117,37.25879325624555
420000,4,3,3,3,0,A,7,3,1.6413325071334839,0.8434780240058899,0.005859375,0.33980441093444824,0.1188429594039917,0.8397598266601562,0.4312327206134796,1.8466757290003244e-10,0.4312327206134796,0.034391067922115326,0.985458254814148,0.3968416750431061,0.034391067922115326,0.3968416452407837,0.985458254814148,0.39777594804763794,0.00093427998945117,0.3968416750431061,1.0,0.9882561564445496,0.5032107830047607,0.8671460151672363,1.0,7.0,0.0,33.43773066997528,14.67230306959136,47.10580643737312,33.43773066997528,14.67230306959136,47.10580643737312,21.256332397460938,66.24267578125,25.11205872381106,14.145295466296375,10.95460768789053
470000,3,3,2,3,0,A,7,3,1.619322657585144,0.8321672081947327,0.0,0.3520285487174988,0.10626500844955444,0.4498216509819031,0.00021383854618761688,0.00021383854618761688,0.45893627405166626,0.030336879193782806,0.9958705306053162,0.42838555574417114,0.030336879193782806,0.42859938740730286,0.9958705306053162,0.42859357595443726,0.00020802184008061886,0.42838555574417114,0.17699360847473145,0.8729275465011597,0.26498115062713623,0.9420250654220581,1.0,8.0,1.0,29.294366270303726,11.809587949993995,32.25142269655828,29.294366270303726,11.809587949993995,32.25142269655828,16.864273071289062,36.016082763671875,11.10442327754572,0.011584876105189323,11.08414941187948
