env_id,regime,method,seed,paper_horizon,final_step,final_score,best_score,job_id,wall_hours,checkpoint_ok,run_dir
cheetah-run,clean,adaptive_rhs,1,3,500000,946.552,948.966,2048,1.6178,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s1
quadruped-run,chaos,adaptive_rhs,1,3,500000,732.885,732.885,2046,2.6400,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s1
cheetah-run,chaos,paper_horizon,1,3,500000,354.477,556.085,2049,1.9397,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/paper_horizon/s1
cheetah-run,chaos,adaptive_rhs,1,3,500000,501.057,503.298,2050,2.3636,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/chaos/adaptive_rhs/s1
hopper-hop,clean,paper_horizon,1,3,500000,542.805,634.152,2051,1.7208,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/paper_horizon/s1
hopper-hop,clean,adaptive_rhs,1,3,500000,570.146,570.146,2052,1.8286,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/clean/adaptive_rhs/s1
hopper-hop,chaos,paper_horizon,1,3,500000,166.819,172.614,2053,2.1450,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/paper_horizon/s1
finger-turn_hard,clean,paper_horizon,1,3,500000,772.7,967.1,2055,1.4947,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/paper_horizon/s1
finger-turn_hard,clean,adaptive_rhs,1,3,500000,918.8,963.3,2056,1.6567,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/clean/adaptive_rhs/s1
hopper-hop,chaos,adaptive_rhs,1,3,500000,278.097,278.097,2054,2.4625,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/hopper-hop/chaos/adaptive_rhs/s1
finger-turn_hard,chaos,paper_horizon,1,3,500000,651,651,2057,1.9503,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/paper_horizon/s1
fish-swim,clean,paper_horizon,1,3,500000,648.558,731.555,2059,1.4044,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/clean/paper_horizon/s1
finger-turn_hard,chaos,adaptive_rhs,1,3,500000,448.7,741.85,2058,2.0511,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/finger-turn_hard/chaos/adaptive_rhs/s1
fish-swim,clean,adaptive_rhs,1,3,500000,658.269,712.947,2060,1.5214,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/clean/adaptive_rhs/s1
fish-swim,chaos,paper_horizon,1,3,500000,,,2061,1.8300,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/chaos/paper_horizon/s1
