step,previous_horizon,selected_horizon,proposed_horizon,best_h,phase_id,phase_name,num_active_horizons,num_candidate_horizons,entropy,norm_entropy,prob_best_h,gauss_mean_best_h,gauss_post_std_best_h,best_fitness,deployment_score_best,incumbent_deployment_score,proposed_deployment_score,proposed_transition_cost,proposed_switch_probability,proposed_expected_net_benefit,transition_cost_best,transition_adjusted_score_best,switch_probability_best,expected_improvement_best,expected_loss_best,expected_net_benefit_best,return_term_best,roughness_term_best,return_std_term_best,learner_proxy_term_best,deployment_utility_enabled,deployment_utility_observations,deployment_utility_override,deployment_utility_selected_expected_gain,deployment_utility_selected_uncertainty,deployment_utility_selected_score,deployment_utility_proposed_expected_gain,deployment_utility_proposed_uncertainty,deployment_utility_proposed_score,deployment_utility_last_observed_gain,robust_return_best,query_total_s,query_model_diag_s,query_env_eval_s
70000,3,3,3,3,0,A,7,3,1.8364293575286865,0.9437379240989685,0.26171875,0.7061610221862793,1.0,0.7061610221862793,0.0789983943104744,0.0789983943104744,0.0789983943104744,0.0,0.5,0.0,0.0,0.0789983943104744,0.5,0.564189612865448,0.564189612865448,0.0,0.7223725914955139,0.9454766511917114,0.3640836477279663,0.8427936434745789,1.0,0.0,0.0,0.0,150.0,44.51464517306857,0.0,150.0,47.5,0.0,9.98868179321289,41.36575081618503,14.504241413902491,25.88003787631169
120000,3,3,3,3,0,A,7,3,1.7590067386627197,0.903950572013855,0.083984375,0.3688918948173523,0.23848527669906616,0.03162277489900589,7.766881910205067e-31,7.766881910205067e-31,7.766881910205067e-31,0.0,0.5,0.0,0.0,7.766881910205067e-31,0.5,0.564189612865448,0.564189612865448,0.0,0.0,0.9181456565856934,0.0,0.845931351184845,1.0,1.0,0.0,41.03138732910156,106.06601717798212,67.5478916235971,41.03138732910156,106.06601717798212,67.5478916235971,41.03138732910156,-9.553276062011719,20.315601801034063,14.434007103089243,5.10269976593554
170000,3,3,3,3,0,A,7,3,1.7430468797683716,0.8957488536834717,0.15234375,0.4051458239555359,0.16172228753566742,0.4776536226272583,0.000499378889799118,0.000499378889799118,0.000499378889799118,0.0,0.5,0.0,0.0,0.000499378889799118,0.5,0.13455089926719666,0.13455089926719666,0.0,0.2156834453344345,0.9590162038803101,0.25165247917175293,0.956171452999115,1.0,2.0,0.0,81.2192611694336,23.20247977987442,97.0198811144022,81.2192611694336,23.20247977987442,97.0198811144022,121.40713500976562,23.657325744628906,5.12695744773373,0.011774570681154728,5.105719548184425
220000,3,4,3,4,0,A,7,3,1.758181095123291,0.9035263061523438,0.025390625,0.21869215369224548,0.0597229078412056,0.32552021741867065,1.989091515497421e-06,6.983341856170444e-13,6.983341856170444e-13,0.0,0.5,0.0,0.0,6.983341856170444e-13,0.5,0.09124203026294708,0.09124203026294708,0.0,0.06059001758694649,0.8701909780502319,0.21294015645980835,0.7964862585067749,1.0,3.0,1.0,0.0,150.0,47.5,0.0,150.0,47.5,-57.008056640625,23.282859802246094,5.128993840888143,0.011824152898043394,5.107189127244055
270000,4,4,4,4,0,A,7,3,1.7185027599334717,0.8831356763839722,0.017578125,0.19779576361179352,0.051303960382938385,0.11421020328998566,2.3968604878632505e-09,2.3968604878632505e-09,2.3968604878632505e-09,0.0,0.5,0.0,0.0,2.3968604878632505e-09,0.5,0.0336950421333313,0.0336950421333313,0.0,0.027099834755063057,0.9721215963363647,0.006420552730560303,0.7120051383972168,1.0,4.0,0.0,25.917999267578125,106.06601717798212,62.43450356207366,25.917999267578125,106.06601717798212,62.43450356207366,25.917999267578125,21.0965576171875,41.7727964730002,14.666564126033336,26.25841345731169
320000,4,3,4,3,0,A,7,3,1.6460329294204712,0.8458935618400574,0.13671875,0.28132617473602295,0.10832757502794266,0.40927407145500183,0.0003195892786607146,5.939616378857489e-31,5.939616378857489e-31,0.0,0.5,0.0,0.0,5.939616378857489e-31,0.5,0.028945159167051315,0.028945159167051315,0.0,0.23743683099746704,0.9391893744468689,0.12581723928451538,0.8509548902511597,1.0,5.0,1.0,35.14348856608073,36.478294155095604,54.263062104854626,35.14348856608073,36.478294155095604,54.263062104854626,39.0330810546875,15.363265991210938,19.849002242088318,14.707388360984623,5.13124028686434
370000,3,4,3,4,0,A,7,3,1.6626200675964355,0.854417622089386,0.0234375,0.20024989545345306,0.0509084016084671,0.3811475932598114,2.6584208171698265e-05,7.88392018336026e-10,7.88392018336026e-10,0.0,0.5,0.0,0.0,7.88392018336026e-10,0.5,0.06111728772521019,0.06111728772521019,0.0,0.12102935463190079,0.8202178478240967,0.21258479356765747,0.7105578184127808,1.0,6.0,1.0,32.47554016113281,3.7859980001157783,43.422039661161755,32.47554016113281,3.7859980001157783,43.422039661161755,18.6922607421875,30.303863525390625,19.59961559670046,14.470855563879013,5.118598135653883
420000,4,5,4,5,0,A,7,3,1.6667141914367676,0.8565216064453125,0.1015625,0.24431893229484558,0.09450265765190125,0.4297786355018616,0.00020149059128016233,1.9029049434565811e-25,1.9029049434565811e-25,0.0,0.5,0.0,0.0,1.9029049434565811e-25,0.5,0.028721991926431656,0.028721991926431656,0.0,0.19613750278949738,0.5547958612442017,0.31352537870407104,0.7827197313308716,1.0,7.0,1.0,0.0,150.0,47.5,0.0,150.0,47.5,-51.752593994140625,26.881977081298828,5.129555620718747,0.011491245124489069,5.108782623894513
470000,5,6,5,6,0,A,7,3,1.5112367868423462,0.7766220569610596,0.3984375,0.3586243689060211,1.0,0.3586243689060211,0.000516361731570214,0.017280450090765953,0.017280450090765953,0.0,0.5,0.0,0.0,0.017280450090765953,0.5,0.053317416459321976,0.053317416459321976,0.0,0.3997422754764557,0.6167488694190979,0.06708794832229614,0.4887433648109436,1.0,8.0,1.0,0.0,150.0,37.798812663361204,0.0,150.0,37.798812663361204,-7.67303466796875,49.22614288330078,41.911665502004325,15.009993244893849,26.892185769043863
